Continent,Country,Key,Year,Rank,Score,Value
Europe,Switzerland,Economy,2015,1,7.587,1.39651
Europe,Switzerland,Family,2015,1,7.587,1.34951
Europe,Switzerland,Freedom,2015,1,7.587,0.66557
Europe,Switzerland,Generosity,2015,1,7.587,0.29678
Europe,Switzerland,Government trust,2015,1,7.587,0.41978
Europe,Switzerland,Health (Life Expectancy),2015,1,7.587,0.94143
Europe,Iceland,Economy,2015,2,7.561,1.30232
Europe,Iceland,Family,2015,2,7.561,1.40223
Europe,Iceland,Freedom,2015,2,7.561,0.62877
Europe,Iceland,Generosity,2015,2,7.561,0.4363
Europe,Iceland,Government trust,2015,2,7.561,0.14145
Europe,Iceland,Health (Life Expectancy),2015,2,7.561,0.94784
Europe,Denmark,Economy,2015,3,7.527,1.32548
Europe,Denmark,Family,2015,3,7.527,1.36058
Europe,Denmark,Freedom,2015,3,7.527,0.64938
Europe,Denmark,Generosity,2015,3,7.527,0.34139
Europe,Denmark,Government trust,2015,3,7.527,0.48357
Europe,Denmark,Health (Life Expectancy),2015,3,7.527,0.87464
Europe,Norway,Economy,2015,4,7.522,1.459
Europe,Norway,Family,2015,4,7.522,1.33095
Europe,Norway,Freedom,2015,4,7.522,0.66973
Europe,Norway,Generosity,2015,4,7.522,0.34699
Europe,Norway,Government trust,2015,4,7.522,0.36503
Europe,Norway,Health (Life Expectancy),2015,4,7.522,0.88521
North America,Canada,Economy,2015,5,7.427,1.32629
North America,Canada,Family,2015,5,7.427,1.32261
North America,Canada,Freedom,2015,5,7.427,0.63297
North America,Canada,Generosity,2015,5,7.427,0.45811
North America,Canada,Government trust,2015,5,7.427,0.32957
North America,Canada,Health (Life Expectancy),2015,5,7.427,0.90563
Europe,Finland,Economy,2015,6,7.406,1.29025
Europe,Finland,Family,2015,6,7.406,1.31826
Europe,Finland,Freedom,2015,6,7.406,0.64169
Europe,Finland,Generosity,2015,6,7.406,0.23351
Europe,Finland,Government trust,2015,6,7.406,0.41372
Europe,Finland,Health (Life Expectancy),2015,6,7.406,0.88911
Europe,Netherlands,Economy,2015,7,7.378,1.32944
Europe,Netherlands,Family,2015,7,7.378,1.28017
Europe,Netherlands,Freedom,2015,7,7.378,0.61576
Europe,Netherlands,Generosity,2015,7,7.378,0.4761
Europe,Netherlands,Government trust,2015,7,7.378,0.31814
Europe,Netherlands,Health (Life Expectancy),2015,7,7.378,0.89284
Europe,Sweden,Economy,2015,8,7.364,1.33171
Europe,Sweden,Family,2015,8,7.364,1.28907
Europe,Sweden,Freedom,2015,8,7.364,0.6598
Europe,Sweden,Generosity,2015,8,7.364,0.36262
Europe,Sweden,Government trust,2015,8,7.364,0.43844
Europe,Sweden,Health (Life Expectancy),2015,8,7.364,0.91087
Oceania,New Zealand,Economy,2015,9,7.286,1.25018
Oceania,New Zealand,Family,2015,9,7.286,1.31967
Oceania,New Zealand,Freedom,2015,9,7.286,0.63938
Oceania,New Zealand,Generosity,2015,9,7.286,0.47501
Oceania,New Zealand,Government trust,2015,9,7.286,0.42922
Oceania,New Zealand,Health (Life Expectancy),2015,9,7.286,0.90837
Oceania,Australia,Economy,2015,10,7.284,1.33358
Oceania,Australia,Family,2015,10,7.284,1.30923
Oceania,Australia,Freedom,2015,10,7.284,0.65124
Oceania,Australia,Generosity,2015,10,7.284,0.43562
Oceania,Australia,Government trust,2015,10,7.284,0.35637
Oceania,Australia,Health (Life Expectancy),2015,10,7.284,0.93156
Asia,Israel,Economy,2015,11,7.278,1.22857
Asia,Israel,Family,2015,11,7.278,1.22393
Asia,Israel,Freedom,2015,11,7.278,0.41319
Asia,Israel,Generosity,2015,11,7.278,0.33172
Asia,Israel,Government trust,2015,11,7.278,0.07785
Asia,Israel,Health (Life Expectancy),2015,11,7.278,0.91387
North America,Costa Rica,Economy,2015,12,7.226,0.95578
North America,Costa Rica,Family,2015,12,7.226,1.23788
North America,Costa Rica,Freedom,2015,12,7.226,0.63376
