Continent,Country,Pivot Field Names,Year,Pivot Field Values,Rank
Europe,Switzerland,Economy,2015,1.39651,1
Europe,Switzerland,Family,2015,1.34951,1
Europe,Switzerland,Freedom,2015,0.66557,1
Europe,Switzerland,Generosity,2015,0.29678,1
Europe,Switzerland,Government trust,2015,0.41978,1
Europe,Switzerland,Health (Life Expectancy),2015,0.94143,1
Europe,Switzerland,Score,2015,7.587,1
Europe,Iceland,Economy,2015,1.30232,2
Europe,Iceland,Family,2015,1.40223,2
Europe,Iceland,Freedom,2015,0.62877,2
Europe,Iceland,Generosity,2015,0.4363,2
Europe,Iceland,Government trust,2015,0.14145,2
Europe,Iceland,Health (Life Expectancy),2015,0.94784,2
Europe,Iceland,Score,2015,7.561,2
Europe,Denmark,Economy,2015,1.32548,3
Europe,Denmark,Family,2015,1.36058,3
Europe,Denmark,Freedom,2015,0.64938,3
Europe,Denmark,Generosity,2015,0.34139,3
Europe,Denmark,Government trust,2015,0.48357,3
Europe,Denmark,Health (Life Expectancy),2015,0.87464,3
Europe,Denmark,Score,2015,7.527,3
Europe,Norway,Economy,2015,1.459,4
Europe,Norway,Family,2015,1.33095,4
Europe,Norway,Freedom,2015,0.66973,4
Europe,Norway,Generosity,2015,0.34699,4
Europe,Norway,Government trust,2015,0.36503,4
Europe,Norway,Health (Life Expectancy),2015,0.88521,4
Europe,Norway,Score,2015,7.522,4
North America,Canada,Economy,2015,1.32629,5
North America,Canada,Family,2015,1.32261,5
North America,Canada,Freedom,2015,0.63297,5
North America,Canada,Generosity,2015,0.45811,5
North America,Canada,Government trust,2015,0.32957,5
North America,Canada,Health (Life Expectancy),2015,0.90563,5
North America,Canada,Score,2015,7.427,5
Europe,Finland,Economy,2015,1.29025,6
Europe,Finland,Family,2015,1.31826,6
Europe,Finland,Freedom,2015,0.64169,6
Europe,Finland,Generosity,2015,0.23351,6
Europe,Finland,Government trust,2015,0.41372,6
Europe,Finland,Health (Life Expectancy),2015,0.88911,6
Europe,Finland,Score,2015,7.406,6
Europe,Netherlands,Economy,2015,1.32944,7
Europe,Netherlands,Family,2015,1.28017,7
Europe,Netherlands,Freedom,2015,0.61576,7
Europe,Netherlands,Generosity,2015,0.4761,7
Europe,Netherlands,Government trust,2015,0.31814,7
Europe,Netherlands,Health (Life Expectancy),2015,0.89284,7
Europe,Netherlands,Score,2015,7.378,7
Europe,Sweden,Economy,2015,1.33171,8
Europe,Sweden,Family,2015,1.28907,8
Europe,Sweden,Freedom,2015,0.6598,8
Europe,Sweden,Generosity,2015,0.36262,8
Europe,Sweden,Government trust,2015,0.43844,8
Europe,Sweden,Health (Life Expectancy),2015,0.91087,8
Europe,Sweden,Score,2015,7.364,8
Oceania,New Zealand,Economy,2015,1.25018,9
Oceania,New Zealand,Family,2015,1.31967,9
Oceania,New Zealand,Freedom,2015,0.63938,9
Oceania,New Zealand,Generosity,2015,0.47501,9
Oceania,New Zealand,Government trust,2015,0.42922,9
Oceania,New Zealand,Health (Life Expectancy),2015,0.90837,9
